epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5711,1.15293,1.64026,2.8823,1.10892,0.00746,0.80985,0.3595,0.26381,0.00699,0.75613,0.31722,0.13858,1.06544,1.33932,3.01333,0.94783,0.00041088,0.00041088,0.00041088
2,98.7583,0.99207,1.09383,1.80563,0.98586,0.38718,0.65725,0.4452,0.30695,0.38191,0.62986,0.42119,0.20192,1.10339,1.17269,2.0041,1.01928,0.00082345,0.00082345,0.00082345
3,134.999,0.98728,1.09974,1.56717,0.97536,0.40301,0.62184,0.48887,0.32279,0.33978,0.52363,0.35869,0.14535,1.19275,1.96996,1.64122,1.01756,0.0012319,0.0012319,0.0012319
4,169.144,0.95149,1.02706,1.43654,0.9724,0.59593,0.65231,0.6096,0.40842,0.5449,0.60811,0.52795,0.25132,1.14699,1.59087,1.41093,1.04678,0.00123144,0.00123144,0.00123144
5,205.022,0.94071,1.04942,1.33577,0.97019,0.47659,0.66857,0.60472,0.41226,0.45714,0.62259,0.56139,0.26526,1.13552,1.14172,1.41935,0.99673,0.00122525,0.00122525,0.00122525
6,239.376,0.90961,1.00203,1.24329,0.95446,0.5927,0.66762,0.64758,0.47601,0.57182,0.64138,0.61169,0.33835,0.97184,1.03138,1.16918,0.95798,0.00121906,0.00121906,0.00121906
7,273.957,0.87716,0.97922,1.16369,0.9439,0.60837,0.68513,0.67274,0.51452,0.59201,0.65737,0.64571,0.37314,0.95375,1.05976,1.13138,0.96807,0.00121287,0.00121287,0.00121287
8,308.547,0.8737,0.9952,1.10487,0.95138,0.65074,0.7132,0.74137,0.54675,0.63287,0.66652,0.69626,0.37101,0.94266,1.09126,1.04755,0.93573,0.00120669,0.00120669,0.00120669
9,342.5,0.85343,0.945,1.04653,0.94404,0.543,0.7156,0.67562,0.50688,0.53193,0.68976,0.65086,0.36069,0.94943,1.03256,1.12386,0.94579,0.0012005,0.0012005,0.0012005
10,380.226,0.84201,0.96008,0.99949,0.94163,0.61198,0.68392,0.68402,0.52498,0.58749,0.65479,0.64877,0.37472,0.97692,1.05028,1.07202,0.97097,0.00119431,0.00119431,0.00119431
11,414.165,0.80575,0.92747,0.95534,0.92887,0.62293,0.73825,0.72841,0.54612,0.60907,0.70543,0.68484,0.35112,0.99596,1.25013,1.05976,0.96778,0.00118812,0.00118812,0.00118812
12,448.774,0.81633,0.95689,0.95999,0.93378,0.63649,0.75532,0.74234,0.53928,0.6255,0.72277,0.71076,0.39011,0.99489,1.0228,1.04216,0.99484,0.00118194,0.00118194,0.00118194
13,484.008,0.80784,0.93841,0.93229,0.93021,0.61583,0.74087,0.75644,0.57412,0.59513,0.71489,0.72227,0.41175,0.87408,1.02224,1.02049,0.93097,0.00117575,0.00117575,0.00117575
14,518.31,0.80794,0.91749,0.88895,0.92903,0.72179,0.73727,0.7835,0.60164,0.71505,0.72876,0.77115,0.42493,0.89622,0.95463,0.87329,0.92837,0.00116956,0.00116956,0.00116956
15,553.563,0.80122,0.90187,0.86853,0.92538,0.64445,0.75155,0.74127,0.58435,0.62372,0.73071,0.70849,0.42545,0.85981,0.96121,0.91169,0.91678,0.00116337,0.00116337,0.00116337
16,587.83,0.78977,0.9052,0.86616,0.9264,0.67343,0.76881,0.77368,0.58321,0.63125,0.71974,0.71355,0.37716,0.92448,1.10342,0.89876,0.92575,0.00115719,0.00115719,0.00115719
17,622.096,0.77323,0.89051,0.82701,0.92287,0.65525,0.72681,0.75822,0.59056,0.6378,0.71848,0.74058,0.44135,0.87733,0.92576,0.91168,0.93591,0.001151,0.001151,0.001151
18,660.172,0.77392,0.90661,0.81734,0.91841,0.72829,0.78878,0.81141,0.61512,0.6985,0.7521,0.75931,0.39452,0.94117,1.23132,0.80324,0.94437,0.00114481,0.00114481,0.00114481
19,694.132,0.75839,0.88718,0.8022,0.91646,0.75107,0.78573,0.82764,0.61129,0.72532,0.75828,0.78418,0.43242,0.96128,1.00844,0.85171,0.96991,0.00113863,0.00113863,0.00113863
20,728.77,0.77815,0.89692,0.82337,0.91827,0.70811,0.80445,0.82799,0.62813,0.71174,0.73241,0.78217,0.43218,0.89348,1.01737,0.84933,0.94986,0.00113244,0.00113244,0.00113244
21,764.876,0.78015,0.90608,0.80006,0.9197,0.72143,0.79028,0.83174,0.6447,0.70325,0.76914,0.79893,0.45719,0.86095,0.95549,0.82047,0.92162,0.00112625,0.00112625,0.00112625
22,799.382,0.76641,0.88284,0.78793,0.91806,0.75788,0.7757,0.84382,0.64878,0.73029,0.7456,0.79599,0.45192,0.86611,1.00084,0.796,0.92171,0.00112006,0.00112006,0.00112006
23,835.721,0.75584,0.87375,0.78742,0.91171,0.71921,0.78563,0.78536,0.61507,0.70535,0.77062,0.75853,0.43372,0.84388,0.96095,0.85401,0.9115,0.00111388,0.00111388,0.00111388
24,870.245,0.75264,0.86743,0.7559,0.91039,0.80239,0.76647,0.84218,0.65301,0.79058,0.74368,0.80484,0.44543,0.88427,1.03266,0.78674,0.92823,0.00110769,0.00110769,0.00110769
25,907.648,0.75431,0.8775,0.74309,0.91639,0.73347,0.77376,0.80732,0.62296,0.72852,0.74338,0.76379,0.44607,0.85822,0.96011,0.81171,0.91998,0.0011015,0.0011015,0.0011015
26,941.45,0.75425,0.89188,0.76653,0.91708,0.7281,0.80905,0.83948,0.65725,0.71537,0.7868,0.81671,0.48231,0.82521,0.90466,0.79311,0.91125,0.00109531,0.00109531,0.00109531
27,976.241,0.74431,0.88176,0.71842,0.90863,0.7316,0.76129,0.8141,0.64165,0.73254,0.73418,0.77517,0.44737,0.81684,1.00326,0.80193,0.90805,0.00108913,0.00108913,0.00108913
28,1014.1,0.72,0.83537,0.72279,0.90037,0.76576,0.81464,0.83464,0.63772,0.74273,0.78707,0.79019,0.43025,0.89691,1.11309,0.73358,0.92854,0.00108294,0.00108294,0.00108294
29,1052.1,0.75006,0.8679,0.72448,0.90894,0.78453,0.80866,0.86088,0.67742,0.76304,0.78669,0.82248,0.47899,0.81139,0.91778,0.70106,0.9012,0.00107675,0.00107675,0.00107675
30,1089.84,0.72641,0.84687,0.70573,0.9119,0.71156,0.79709,0.81475,0.62601,0.69126,0.77281,0.78961,0.45527,0.88057,0.9425,0.851,0.92667,0.00107056,0.00107056,0.00107056
31,1124.53,0.74096,0.86121,0.71424,0.90556,0.79304,0.78723,0.84326,0.64366,0.76799,0.76412,0.80644,0.46265,0.88923,0.98501,0.76896,0.9322,0.00106437,0.00106437,0.00106437
